NUMBER,STATION,X,Y,Z,LINE ANGLE,STRUCTURE COMMENT
1,,257521.932,4808272.963,107.672,,Pórtico Corredoria
2,186.27,257702.46,4808318.851,115.947,0.0197,AP111280
3,551.326,258056.294,4808408.674,100.068,0.0783,AP300628
4,941.933,258435.01,4808504.318,105.202,243.858,AP300627
5,1118.486,258609.941,4808480.437,86.685,0.2709,AP300626
6,1401.048,258889.741,4808441.027,107.135,-0.2132,AP300625
7,1586.296,259073.263,4808415.804,141.089,0.2228,AP300624
8,1808.159,259292.953,4808384.826,173.17,102.072,AP300623
9,2045.666,259519.823,4808314.543,146.803,0.1995,AP300622
10,2274.197,259737.906,4808246.233,176.939,0.0006,AP300621
11,2641.308,260088.231,4808136.496,207.545,-0.1698,AP300620
12,2785.055,260225.521,4808093.893,202.999,0.0069,AP300619
13,3116.386,260541.954,4807995.661,158.124,-0.0055,AP300618
14,3346.985,260762.192,4807927.313,205.228,0.0431,AP300617
15,3628.558,261031.056,4807843.674,235.75,0.1268,AP300616
16,3834.817,261227.883,4807782.014,277.029,-0.2685,AP300615
17,4006.57,261391.997,4807731.362,289.688,0.129,AP300614
18,4173.675,261551.569,4807681.756,281.714,-70.268,AP300613
19,4372.276,261746.558,4807644.05,244.457,0.0794,AP300612
20,4690.471,262058.89,4807583.248,186.368,-0.0021,AP300611
21,5007.77,262370.344,4807522.628,113.384,0.0106,AP300610
22,5314.435,262671.351,4807463.989,124.962,-0.009,AP300609
23,5674.247,263024.534,4807395.237,161.77,0.0301,AP300608
24,6004.462,263348.634,4807331.988,196.904,-0.0441,AP300607
25,6336.037,263674.114,4807268.703,178.138,-0.0018,AP300606
26,6473.662,263809.21,4807242.44,214.211,0.0124,AP300605
27,6822.272,264151.401,4807175.848,213.091,-0.0489,AP300604
28,7209.16,264531.221,4807102.235,287.392,0.0459,AP300603
29,7487.073,264804.019,4807049.16,339.971,0.1033,AP300602
30,7599.288,264914.134,4807027.552,355.87,-0.0586,AP300601
31,7750.037,265062.088,4806998.659,375.18,-0.1196,AP300600
32,7810.741,265121.689,4806987.136,380.887,0.0354,AP300599
33,7940.041,265248.623,4806962.522,372.175,-0.2157,AP300598
34,8156.987,265461.741,4806921.945,354.316,0.0579,AP300597
35,8410.044,265710.289,4806874.387,355.325,-25.277,AP405577
36,8768.388,266064.645,4806821.067,339.345,0.0729,AP300595
37,9093.311,266385.895,4806772.352,328.771,0.0137,AP405576
38,9318.203,266608.238,4806738.587,324.596,-0.048,AP405575
39,9554.771,266842.15,4806703.245,338.819,-81.001,AP405574
40,9725.528,267012.863,4806699.365,336.195,-0.1419,AP300591
41,9964.511,267251.796,4806694.468,339.896,0.0414,AP300590
42,10287.784,267574.997,4806687.634,340.275,-0.1001,AP300589
43,10615.294,267902.444,4806681.225,328.637,-140.204,AP300588
44,10924.11,268205.064,4806742.778,342.755,-0.077,AP405573
45,11228.027,268502.81,4806803.715,313.244,-0.0509,AP405572
46,11544.279,268812.588,4806867.372,346.339,-173.037,AP405571
47,11751.612,268997.017,4806962.097,342.654,-0.2522,AP300584
48,11964.163,269185.702,4807059.955,356.573,-0.0391,AP405570
49,12111.256,269316.237,4807127.756,346.213,0.157,AP300582
50,12377.22,269552.563,4807249.767,344.596,-0.0504,AP300581
51,12566.07,269720.3,4807336.536,322.388,0.238,AP300580
52,12768.981,269900.872,4807429.089,320.613,409.419,AP300579
53,12878.369,270008.694,4807410.64,303.313,0.4458,AP300578
54,13127.654,270254.107,4807366.875,248.557,0.1915,AP405569
55,13334.578,270457.707,4807329.935,231.426,115.724,AP405568
56,13606.344,270711.931,4807233.878,187.607,183.204,AP300575
57,13703.945,270789.686,4807174.886,183.721,,AP405249
